-3.1,4.177644865858441e-7
-3.0900000000000003,4.2039477168476914e-7
-3.08,4.232258577850694e-7
-3.0700000000000003,4.148605758875499e-7
-3.06,4.1799125705858213e-7
-3.0500000000000003,4.31543217033193e-7
-3.04,4.342170454175582e-7
-3.0300000000000002,4.370901224347799e-7
-3.02,4.4000923695924487e-7
-3.0100000000000002,4.434767072563561e-7
-3.,4.465555873498207e-7
-2.99,4.496967991984077e-7
-2.98,4.5291707942685717e-7
-2.97,4.5618794337029375e-7
-2.96,4.5844643315552436e-7
-2.95,4.6176759210804417e-7
-2.94,4.651315255995816e-7
-2.93,4.688216984603944e-7
-2.92,4.7263642218400877e-7
-2.91,4.7646926297154785e-7
-2.9,4.803545247699326e-7
-2.89,4.843662036809724e-7
-2.88,4.884738317895124e-7
-2.87,4.924960470667276e-7
-2.8600000000000003,4.9660222736327e-7
-2.85,5.015939725987563e-7
-2.84,5.059012180215034e-7
-2.83,5.095295978308384e-7
-2.8200000000000003,5.140214507072581e-7
-2.81,5.19054929163955e-7
-2.8000000000000003,5.237463363008053e-7
-2.79,5.285326034526367e-7
-2.7800000000000002,5.332189847485968e-7
-2.77,5.37862372038062e-7
-2.7600000000000002,5.429476484173834e-7
-2.75,5.48275347111042e-7
-2.74,5.459387954370738e-7
-2.73,5.512567456914202e-7
-2.72,5.568094303432179e-7
-2.71,5.624632499359734e-7
-2.7,5.682662744033247e-7
-2.69,5.741924598199155e-7
-2.68,5.802938679000374e-7
-2.67,5.960370017543335e-7
-2.66,6.017844294024737e-7
-2.65,6.085578146314452e-7
-2.64,6.160703261393016e-7
-2.63,6.238016942807634e-7
-2.62,6.312626571757618e-7
-2.6100000000000003,6.387124445704657e-7
-2.6,6.465911881788084e-7
-2.59,6.54472356775904e-7
-2.58,6.62616691829535e-7
-2.5700000000000003,6.709250869769592e-7
-2.56,6.794388508730276e-7
-2.55,6.882269318941932e-7
-2.54,6.976958252962059e-7
-2.5300000000000002,7.069625976581429e-7
-2.52,7.165617764446676e-7
-2.5100000000000002,7.256718446549729e-7
-2.5,7.354400844929628e-7
-2.49,7.45621893484944e-7
-2.48,7.562796166172484e-7
-2.47,7.671106361971601e-7
-2.46,7.782258232721338e-7
-2.45,7.89670169150932e-7
-2.44,8.014159791271036e-7
-2.43,8.194549584307465e-7
-2.42,8.317154946837359e-7
-2.41,8.445898379011951e-7
-2.4,8.595985499915365e-7
-2.39,8.73167843046685e-7
-2.38,8.84927844355192e-7
-2.37,8.9898036472198e-7
-2.3600000000000003,9.134119356130288e-7
-2.35,9.282677424136744e-7
-2.34,9.437114751205925e-7
-2.33,9.575335096696637e-7
-2.3200000000000003,9.736066870862247e-7
-2.31,9.899994387843749e-7
-2.3,1.0073843005461373e-6
-2.29,1.0244783880318936e-6
-2.2800000000000002,1.0426840222941689e-6
-2.27,1.061275350749875e-6
-2.2600000000000002,1.079896976265511e-6
-2.25,1.0989440661106754e-6
-2.24,1.119817663886452e-6
-2.23,1.1406729189523595e-6
-2.22,1.1592161282189315e-6
-2.21,1.1823573376306722e-6
-2.2,1.20485338710278e-6
-2.19,1.2242918406507347e-6
-2.18,1.2483247763206376e-6
-2.17,1.2702518760820263e-6
-2.16,1.2956853612949238e-6
-2.15,1.320405020256871e-6
-2.14,1.3444527352476108e-6
-2.13,1.3712018786910488e-6
-2.12,1.3978806893935647e-6
-2.1100000000000003,1.424894075782795e-6
-2.1,1.4524518662495996e-6
-2.09,1.48014206443762e-6
-2.08,1.5081529462602816e-6
-2.0700000000000003,1.5356289483273293e-6
-2.06,1.5683481277440675e-6
-2.05,1.599311570311874e-6
-2.04,1.6285803788557584e-6
-2.0300000000000002,1.6632125763376685e-6
-2.02,1.6931468089522678e-6
-2.01,1.7302311351832174e-6
-2.,1.7638582995403346e-6
-1.99,1.795092553194814e-6
-1.98,1.8340082595607823e-6
-1.97,1.8719896321995676e-6
-1.96,1.9097896828603686e-6
-1.95,1.948082990805389e-6
-1.9400000000000002,1.9872157643737336e-6
-1.9300000000000002,2.027295412105474e-6
-1.9200000000000002,2.0674071236091103e-6
-1.9100000000000001,2.1176822254361964e-6
-1.9000000000000001,2.160324167921963e-6
-1.8900000000000001,2.2096615791568026e-6
-1.8800000000000001,2.252914786347652e-6
-1.87,2.296756634806776e-6
-1.86,2.349060681403955e-6
-1.85,2.391169612930493e-6
-1.84,2.447515927310868e-6
-1.83,2.4977797523751546e-6
-1.82,2.5416828303121002e-6
-1.81,2.606088952177709e-6
-1.8,2.6603564390745957e-6
-1.79,2.7120182645540064e-6
-1.78,2.7645850379358825e-6
-1.77,2.8215782868147123e-6
-1.76,2.8868621507055636e-6
-1.75,2.948527480692561e-6
-1.74,3.0098299808196868e-6
-1.73,3.074558105745316e-6
-1.72,3.1556039242076715e-6
-1.71,3.2377446599924086e-6
-1.7,3.314007439227399e-6
-1.6900000000000002,3.3763005845207505e-6
-1.6800000000000002,3.4481282358329588e-6
-1.6700000000000002,3.552748259853551e-6
-1.6600000000000001,3.610016050682724e-6
-1.6500000000000001,3.707806460005818e-6
-1.6400000000000001,3.791753770957138e-6
-1.6300000000000001,3.8862685035814485e-6
-1.62,3.968272028170885e-6
-1.61,4.0896856749611794e-6
-1.6,4.136716256657193e-6
-1.59,4.283900771155596e-6
-1.58,4.40312496599363e-6
-1.57,4.479372815953042e-6
-1.56,4.561837569883132e-6
-1.55,4.724291164683403e-6
-1.54,4.867958787293828e-6
-1.53,5.000526824268148e-6
-1.52,5.12928541458103e-6
-1.51,5.2608466112613184e-6
